Date,Open,High,Low,Close
3/19/2010,204,206.59,203.33,205.85
3/22/2010,202.51,205.38,201,204.1
3/23/2010,204.2,205.66,201.86,204.85
3/25/2010,204.46,206.16,202.52,204.96
3/26/2010,205.49,207.8,204.51,207.29
3/29/2010,207.5,210.5,207.3,209.51
3/30/2010,209.51,212.2,207.5,208.26
3/31/2010,208.5,209.89,207.34,207.82
4/1/2010,208,210.8,207.53,210.26
4/5/2010,211.5,214.22,210.5,213.82
4/6/2010,214.39,214.77,211.21,212.35
4/7/2010,213.03,213.5,209.6,211.09
4/8/2010,210.5,210.98,208.76,209.59
4/9/2010,210,212.5,209.35,210.61
4/12/2010,211.5,211.5,208,209.2
4/13/2010,209.7,211.2,206.3,209.4
4/15/2010,209.66,210.9,204.8,205.4
4/16/2010,205,205.49,202.52,204.77
4/19/2010,203.99,204.49,201.2,203.24
4/20/2010,204.24,210.66,202.1,209.84
4/21/2010,211,211.9,208.66,210.58
4/22/2010,208.21,224.89,208.21,222.31
4/23/2010,223,229.4,221.1,226.06
4/26/2010,226.4,227.9,224.11,225.15
4/27/2010,225.2,225.5,220.91,221.78
4/28/2010,220.4,225.18,218.25,223.22
4/29/2010,224,228.5,223.5,227.4
4/30/2010,228,231.89,228,230.07
5/3/2010,229,230.5,227.71,229.71
5/4/2010,230.5,231.59,227.31,228.01
5/5/2010,226,228.5,224.05,227.62
5/6/2010,228,232,226.23,231.16
5/7/2010,227.52,229.18,221.84,222.62
5/10/2010,225,232.51,224.21,230.79
5/11/2010,231.4,233.9,228.12,228.79
5/12/2010,229,233.9,228.2,232.42
5/13/2010,233.2,234.9,230.62,231.77
5/14/2010,231.5,233.39,221.16,222.43
5/17/2010,221,227.2,214.13,225.07
5/18/2010,224.79,229.8,223.13,228
5/19/2010,226,227.3,219,221.41
5/20/2010,222.2,228.2,222.11,226.75
5/21/2010,222.2,228,221.04,227.12
5/24/2010,228.2,231.1,222.29,223.12
5/25/2010,222,222,213.8,215.51
5/26/2010,217.18,218.6,215.16,217.36
5/27/2010,217,224.8,215.73,221.94
5/28/2010,224.4,225.88,220.32,223.94
5/31/2010,223,227.45,223,226.88
6/1/2010,225.11,227.6,220.21,220.96
6/2/2010,221.22,226.7,221,225.82
6/3/2010,226.51,230.6,226.51,228.73
6/4/2010,229,234.8,227.9,234.07
6/7/2010,225.12,232,223.29,228.68
6/8/2010,228.8,233.15,226.86,228.38
6/9/2010,228.5,230.9,225.8,227.25
6/10/2010,226.6,233.8,226.6,232.68
6/11/2010,263.01,263.01,232.61,233.99
6/14/2010,234.5,235.99,232.6,234.5
6/15/2010,234.99,237.43,232,236.42
6/16/2010,241.7,241.7,234.54,236.17
6/17/2010,235.9,236.2,232.35,235.09
6/18/2010,234.99,237.99,234,237.26
6/21/2010,237.5,240.27,237.5,238.78
6/22/2010,237.5,239.4,235.01,235.46
6/23/2010,235,235.8,232.85,234.96
6/24/2010,235,236.6,233.8,235.76
6/25/2010,235.01,235.5,228.5,230.08
6/28/2010,228.8,231.45,227.5,230.37
6/29/2010,230.5,232.89,228.12,229.12
6/30/2010,227.98,231.2,227.5,230.2
7/1/2010,229.11,229.9,225.4,226.23
7/2/2010,226.5,227.99,225.74,226.51
7/5/2010,226.51,229.4,225.35,227.25
7/6/2010,227.3,231.9,226.84,231.28
7/7/2010,230.9,231.9,229.1,230.41
7/8/2010,231.5,236.68,231.5,235.68
7/9/2010,236.5,237.85,236.01,236.89
7/12/2010,237.51,241.2,237.01,240.07
7/13/2010,240.1,243.71,239.01,242.91
7/14/2010,243.7,247.9,243.7,246.45
7/15/2010,247.05,247.3,243.4,243.99
7/16/2010,244.5,246.48,242.81,244.9
7/19/2010,243.9,246.3,242.6,245.52
7/20/2010,245.52,246.49,244.02,244.9
7/21/2010,245.55,246.31,243.4,243.68
7/22/2010,242.71,248.74,241.77,247.63
7/23/2010,248.1,250.38,247.6,249.68
7/26/2010,249.8,250.24,240.21,241.01
7/27/2010,241.99,244.69,240.06,243.51
7/28/2010,243.46,247.8,242.32,247.13
7/29/2010,246.2,248.28,243.61,247.3
7/30/2010,246,252.2,245.04,250.29
8/2/2010,251.99,260,251.2,258.64
8/3/2010,259.89,261.67,257.9,260.05
8/4/2010,260.99,261,257.3,259.52
8/5/2010,260,266.27,259,264.57
8/6/2010,263.5,265.49,260.8,261.93
8/9/2010,262.5,265.52,261.6,265.08
8/10/2010,265.01,267.5,262.4,262.96
8/11/2010,262.5,264.7,259.06,259.96
8/12/2010,258.99,279.5,257.63,278.44
8/13/2010,278.4,287.97,278.4,285.02
8/16/2010,284.7,285.46,280.95,282.14
8/17/2010,282.5,285.61,281.15,281.85
8/18/2010,282.74,283.47,276.61,281.47
8/19/2010,281.51,282.48,278.27,280.57
8/20/2010,280,283.37,278.01,278.69
8/23/2010,279,284.25,277.05,282.33
8/24/2010,279.65,285.49,279.65,284.58
8/25/2010,283.6,285.45,281.5,282.36
8/26/2010,283,288.48,282.5,286.61
8/27/2010,286.16,286.55,278.5,279.44
8/30/2010,280.67,283.05,278.64,280
8/31/2010,279,279,274.16,276.64
9/1/2010,277.5,278.63,273.73,277.65
9/2/2010,278.99,280.48,275.1,275.91
9/3/2010,276.17,278.9,275.14,277.34
9/6/2010,277.5,287.2,277.5,285.91
9/7/2010,286.11,286.24,282.82,283.7
9/8/2010,282.51,290.6,280.92,289.59
9/9/2010,290,299.47,289.7,298.4
9/13/2010,299.11,316.6,299.11,314.86
9/14/2010,315.4,316.6,308.25,310.95
9/15/2010,310.6,312.47,304.33,306.03
9/16/2010,306.3,314.2,306,309.48
9/17/2010,314,314,308,309.27
9/20/2010,310,312.37,307.5,310.89
9/21/2010,311.5,312.9,308.57,309.88
9/22/2010,311.58,315.89,309.82,314.87
9/23/2010,315.8,316.5,312.63,313.95
9/24/2010,313.51,316,312.33,314.14
9/27/2010,314.5,319.98,314.5,318.07
9/28/2010,317.9,320.99,316.33,319.07
9/29/2010,319,322.5,318.62,319.57
9/30/2010,319.9,327.47,317.5,324.05
10/1/2010,323.94,328.8,322.1,327.21
10/4/2010,327.5,329.99,324.52,325.96
10/5/2010,325.5,327.51,323.72,324.8
10/6/2010,325.5,327.79,322.45,323.33
10/7/2010,323.6,324.69,320.8,321.99
10/8/2010,321.8,326.79,321.5,324.74
10/11/2010,325.8,327.35,324.52,326.5
10/12/2010,325.5,326.58,320.16,323.36
10/13/2010,323.99,331.5,322.3,330.56
10/14/2010,331.5,332.48,324.82,326.14
10/15/2010,328.1,328.1,315.02,316.57
10/18/2010,318.5,320.94,313.29,316.77
10/19/2010,318.48,320.4,310.57,311.66
10/20/2010,310.5,313.39,307.6,309.43
10/21/2010,310.8,320.95,310.61,319.51
10/22/2010,320,322.2,317.1,320.62
10/25/2010,320.9,325.24,320.8,323.92
10/26/2010,323.4,323.4,317.4,318.08
10/27/2010,317.94,321.38,315.67,318.79
10/28/2010,319.8,323.6,316.51,318.83
10/29/2010,318.02,318.83,311.8,315.06
11/1/2010,319.5,321.8,316.82,319.85
11/2/2010,319.9,324,317.67,320.18
11/3/2010,321.5,328.6,321.11,327.26
11/4/2010,329.8,344.9,328.61,343.35
11/8/2010,350.5,351.5,341.33,342.52
11/9/2010,333,334.8,326.11,327.26
11/10/2010,327.1,329.19,320.9,321.46
11/11/2010,322.2,325.4,316.61,317.6
11/12/2010,317.02,317.5,300.2,302.68
11/15/2010,303.2,317.47,301,316.35
11/16/2010,317.19,318.8,306.14,308.06
11/18/2010,310.8,311.1,296.5,306.51
11/19/2010,306.8,306.8,297.51,299.1
11/22/2010,300.13,305,298.05,303.98
11/23/2010,301.4,301.4,287.04,295.34
11/24/2010,295.55,297.61,281.43,285.1
11/25/2010,287.1,288.4,277.5,282.19
11/26/2010,283.11,290.97,279.17,286.27
11/29/2010,287.21,290.11,284.1,287.98
11/30/2010,287.24,299.99,285.52,299.22
12/1/2010,299.9,312.35,297.51,310.02
12/2/2010,312.36,317.36,308.7,309.92
12/3/2010,309.3,310.5,304.8,307.08
12/6/2010,307.97,309,293.5,295.23
12/7/2010,295.3,295.5,285,286.45
12/8/2010,285,286,279.2,280.5
12/9/2010,281.5,281.7,266.65,268.69
12/10/2010,268.4,274.45,265.55,273.24
12/13/2010,274.55,278,269.5,274.48
12/14/2010,274.92,280.5,274.05,279.27
12/15/2010,278.3,278.3,267,269.8
12/16/2010,270.9,277.9,267.74,276.3
12/20/2010,275,275,269,270.05
12/21/2010,270.92,276.5,270.92,274.38
12/22/2010,274.8,278.8,273,274.49
12/23/2010,275.5,276.79,273.51,274.63
12/24/2010,274.6,276.9,273,275.54
12/27/2010,276.45,277.14,274.56,275.12
12/28/2010,276.5,276.5,272.5,272.85
12/29/2010,273.5,276.32,273.13,275.52
12/30/2010,275.1,278.05,274.18,274.96
12/31/2010,275.4,282.74,275.3,281.19
1/3/2011,283.27,285.2,281.52,282.21
1/4/2011,283.44,283.44,272.71,273.56
1/5/2011,273.5,273.64,268.2,269.32
1/6/2011,271.4,271.4,261.31,262.24
1/7/2011,261.79,264.2,256.71,260.1
1/10/2011,259.98,263.4,253.6,254.71
1/11/2011,254.63,262.86,253.5,261.29
1/12/2011,262.8,268.9,256.97,266.97
1/13/2011,267.4,267.4,255.49,256.07
1/14/2011,256.67,258.8,249.14,250.08
1/17/2011,250.4,253.5,249,251.62
1/18/2011,252,256.2,252,255.46
1/19/2011,256.19,256.58,248.73,250.18
1/20/2011,249.1,254.5,246.31,253.51
1/21/2011,252.89,260.7,252.2,259.69
1/24/2011,264,270.74,263.6,269.51
1/25/2011,270.9,273.74,266.8,267.8
1/27/2011,268.9,271.2,264.25,265.35
1/28/2011,264.97,267.46,259.05,262.02
1/31/2011,258,266.5,257.1,264.24
2/1/2011,265.26,266,258.52,259.4
2/2/2011,262.47,263.36,256,257.38
2/3/2011,257.5,265.9,256.12,265.17
2/4/2011,264.8,269.5,263,264.58
2/7/2011,265.97,268.78,263.45,266.35
2/8/2011,266.4,268.5,262.4,263.82
2/9/2011,263.5,263.5,256.5,258.1
2/10/2011,257.81,258.5,247.63,249.41
2/11/2011,249.8,260.2,248.51,259.26
2/14/2011,261,270.69,261,269.82
2/15/2011,271,276.1,267.01,273.68
2/16/2011,273.23,277.3,272.37,275.11
2/17/2011,275.2,278.8,274,278.05
2/18/2011,278.26,281.48,273.96,276.11
2/21/2011,276.14,279.9,274.45,279.18
2/22/2011,277.4,277.7,271.4,272.73
2/23/2011,271,272.09,260.94,261.77
2/24/2011,262.44,264,251.23,252.87
2/25/2011,255,261.98,253.38,258.27
2/28/2011,259,266.21,258.36,263.05
3/1/2011,265.7,271.8,264.74,270.54
3/3/2011,269,271.92,265.56,268.25
3/4/2011,270.8,272.8,269.3,270.46
3/7/2011,268.44,268.44,261.1,262.42
3/8/2011,262.8,265.49,262.02,264.23
3/9/2011,265.97,266.5,261.72,262.73
3/10/2011,261.52,261.52,257.5,258.98
3/11/2011,257.79,259.5,255.4,256.52
3/14/2011,257.25,260.9,256.58,260.2
3/15/2011,256,258.45,252.04,256.25
3/16/2011,257.63,265.86,257.63,264.39
3/17/2011,262.5,267,260.87,261.75
3/18/2011,263.6,264.2,258,259.02
3/21/2011,260.84,261.45,256.86,258.26
3/22/2011,259.54,263.21,259.5,262.05
3/23/2011,261.79,264.8,259.5,264.27
3/24/2011,264.8,266.57,263.21,265.08
3/25/2011,266.8,271.9,264.8,271.08
3/28/2011,270.5,276.02,270.13,274.92
3/29/2011,274.18,279.3,274.11,276.79
3/30/2011,277.99,287.07,277.53,285.61
3/31/2011,287.97,288.85,275.8,276.53
4/1/2011,276.53,277.4,270.51,271.95
4/4/2011,272.7,277.4,272.63,276.33
4/5/2011,278.45,280.37,274.2,279.63
4/6/2011,279.88,282.4,277.52,279.73
4/7/2011,279.4,283.5,277.5,281.29
4/8/2011,280.5,282.49,276.17,277.83
4/11/2011,277.97,279.8,276.25,278.42
4/13/2011,276.79,282.99,275.9,281.9
4/15/2011,281.8,284.9,279.5,280.82
4/18/2011,281.2,284.4,274.68,275.15
4/19/2011,275.5,276.86,271.51,273.33
4/20/2011,275.2,280.2,272.36,279.52
4/21/2011,282,287.5,280.92,286.11
4/25/2011,287.2,296.01,287.2,291.88
4/26/2011,292.45,294.96,288.54,293.38
4/27/2011,294,295.48,290.12,291.05
4/28/2011,292.9,293.21,284.51,285.58
4/29/2011,285.6,286.89,278.5,280.46
5/2/2011,281,281.9,268.2,269.27
5/3/2011,268.01,272.77,257.5,258.37
5/4/2011,259.19,264.39,256.25,261.58
